match	kingdom	phylum	class	order	family	genus	species	new_species	new_fam	new_genus									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_CNPH82	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_88	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_85	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_80alpha	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_71	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_47	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_37	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_2638A	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_187	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Saccharomonospora_phage_PIS_136	Viruses			Caudovirales	Siphoviridae		Saccharomonospora_phage	Viruses;;;Caudovirales;Siphoviridae;;Saccharomonospora_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
